id,status,owner,nft_name
32NpLTiqDXt4yT6TPQRV8FDeQNWZ8aj62yYy9HwGeYSR,HODLED,BdZYTXJhyCJ1C8PL4SCJUbVG21uPPBB9FLgSdymZ2qu3,
336y1EoTexzNtczh92dcL6o32iPhcPdvZpXm8Ccv2BhA,HODLED,9SBNtGTzbEbdCV8vPg1E6QjySJvbUUeHc8LLTev2f8jT,
33q8YdeBB5oZHpyXhJ3A6wFNjbEaYXor7htgRSehvDKk,HODLED,9PN9UChfMKtPCxEY17bF4sLvpWBeepsBmfzJe5jSoSad,
34aX9mduYzZ64npit1HySBtyGjzMKPqxtyu6CQBkUR5p,HODLED,1BWutmTvYPwDtmw9abTkS4Ssr8no61spGAvW1X6NDix,
34SFoqeLDcA3iXUTKpyX7N97CpzuHL7sr1jBD9JghqzE,HODLED,1BWutmTvYPwDtmw9abTkS4Ssr8no61spGAvW1X6NDix,
34u5ok43aLazdx9kChWADB2kwboEuvCDDBjkV539Dynf,BURNED,,
35jTBMi2SRgebFKwe95Q33H5XLN21NvEdMScWB1Dj3AY,HODLED,CXWr5Hv9Fdfy8uD7pckYQ4LMeiE3U8PCpSrdzZoH5Mgq,
36BBgdvfWLU4nZcw4zqZrfYkSH7XPB5Fy1hrUSL74oJP,HODLED,8ZC96Ry6tdUPCXRxpmHw7JEkj6DUcYPZ7sT8kMnLpBHp,
36Zr8mpPpdqMVPEdZopkKipQ2hnZoFiUwhisXd3SaZVA,HODLED,FJTfzvsbahzLYtcDxiCVzYe5E2XHsREL84cv4mrXNVAC,
37XSjGkNiFsYoxMDmctSpikAKwwZxJCy82GHtzGtcNs5,HODLED,DkT4eqMwpUr2fqixzPpcXRL9jLx8kWJLkcmPmxPoSnk9,
38yv5PrCQ6N7B96PNu5Vxi2eF9upv6EPnJpEFuNLMP8C,HODLED,DYhyznkRUkhtJL8vyXFEmCghMiVTbUuZZNY1e74B6CmK,
3a2Xqtr5K87e3buu3KXUH1ZfYg8KuyVQRWw9ampoiHRA,HODLED,4ybJUAT3hoBwNXG4Zkn3B1KwTuLmTQpiiUbeUe6CE9Cm,
3boEGtdB5tM2A9KimXBFS7tE3GQsr6jzLM2TF3txBiqE,HODLED,4efsCqQsCnMy9SNEy7zFm5KscoF26h1CaS9ueEWGDShC,
3c4jd1nkf4VJZht1e3CecVk8eyHU12rZQ6TBUeVKzGEo,HODLED,6W3HNEweX2dNViWscpyuL8iVDx2iniZRPp3rakr2kS3o,
3cX1KDpcQY2ADPneQGfr2D26NQunxzWkn9WWSAWnP4qD,HODLED,DPPirq3RTKxw2dAWfC32bjUcuW9HJStQ2WumDEjKwVWP,
3dajVe2YeuJUJwm6BhCUojMzVrTYFv6f7vFQX65mBQyX,HODLED,FWHHnjqashFmyFXqwKwdRE1vET3XKrXH4xQHyV1AQyJV,
3dDXw5y61VJsJDrKZiyXqDSDWzyywhXRwHRjKcUCN2aZ,HODLED,B2RsCA9dUXGVsqQtrsio2WpZ5wiaAvyFUYXipVrJ1XZ2,
3DhXWMCsUVVEE1JYh4cnP1X7RESx1pxZXAM2EcoTVcwq,HODLED,7Q3PX3i4pYWkq4UadXie5jkdkdX6f2UKFxpbVZnzeMr2,
3DJwsRw61goKxsfCeSeE2wjQw4xrmCenb65ZWu4qS9dw,HODLED,CkjXkdTjUfbkyDQywrSNQS7F3mg7cxQrESzqK9wAFpnQ,
3dys5RupHMiqEXBX1EhjxACQ2D3dWdBFNnB9DQZ3nDFa,HODLED,EYKe9ntbErQZd9aKKoe9xJqYUVCNVA5tDEqhsbYd5mL8,
3eATAV4MNVicxY9fj6FLu6SPh22Z1UpaZ1FB38a3wwQ8,HODLED,1BWutmTvYPwDtmw9abTkS4Ssr8no61spGAvW1X6NDix,
3ef62L2Tomn9PgEdou9WdSfxm5aFHv5uvVirajN95E84,HODLED,FWMnsmFv6EvmtbMP4kHRHodgFMtgg1MBezKf5wsYfavq,
3eH97TY7TenbVaLGg5c1hGY4ERsByKaMDKAuh9vs9AXK,HODLED,EQBrFJZMDpXr6TFaADqn3oRJrRzNRfFac4ciTWXmPYsr,
3eUsf66qYMEZ1BXLAV1XPUd75MG1x3jy18W7GMwWPaQ9,HODLED,9LGGEKRxCcofogY2wxYLqXAEuoAnQp27jbgdGQgJhmcc,
3Fb22qrkjU2zV1bUXc7CqD1ALkix7JgqtyV95amKgyQB,HODLED,7AN8beUb2V6pPiYdG7VEtLsUYeCV28ba1Vf4ecRsbU8a,
3fSFWbupJ6hnVuYs1uidnrrJ8fGiwL1aofkDF5vhDv8B,HODLED,1BWutmTvYPwDtmw9abTkS4Ssr8no61spGAvW1X6NDix,
3fyA2TeLo5Hq6Ubr8E6ezWdfo1VNAL5nsFdkNCxtjZc2,HODLED,CqapKvX55kqfByVpga8Pt2UnnPWeLTnCkpQ7HARPRN25,
3ggc97bVRugnq2siSh4929t9C8BP4AmcmQvGdbQicVqh,HODLED,DpurN91Cr9sK4u9dc1JGRXv321N6LQAjmdcmj9b3UKSo,
3GijzyfoJzWXTKck7b7FzxW6kC4Jdfwn9B1qEzpxAbdT,HODLED,ENXsoqDLyqA4zjLngFFfmuWUDVmeX3jyzyqQXcpD6bdC,
3GrhX8TtUhns7dt6HbP113rHBAfXAmPu9h2rLGgN5VEN,HODLED,1BWutmTvYPwDtmw9abTkS4Ssr8no61spGAvW1X6NDix,
3H4JBwNfpM1EJahDjZbK4uCtQRWWTBEm9LcS5WFkQtKg,HODLED,8ZC96Ry6tdUPCXRxpmHw7JEkj6DUcYPZ7sT8kMnLpBHp,
3hJG1sMFu3HFMaruyL536dSxzaXAUwi3pAFK2GGB3NM2,HODLED,GR3hq6m4JrriBWHufBsgBsitnoP4aUtwsdEk246aUG9d,
